commune,nombre_d'offres,prix_moyen_annoncé_________en_€_courant,prix_moyen_annoncé_au_m²_en_€_courant
Beaufort,55,459275.22,4549.134
Bech,4,*,*
Beckerich,17,*,*
Berdorf,22,*,*
Bertrange,183,799600.96,9220.842
Bettembourg,226,668046.83,7903.56
Bettendorf,44,482808.93,5246.021
Betzdorf,5,*,*
Bissen,38,543997.45,6549.042
Biwer,1,*,*
Boulaide,23,*,*
Bourscheid,44,482565.49,4982.74
Bous,1,*,*
Clervaux,919,385254.31,4669.563
Colmar-Berg,45,562300,5171.066
Consdorf,7,*,*
Contern,76,628608.04,6801.539
Dalheim,9,*,*
Diekirch,139,461151.77,5895.361
Differdange,1530,492241.33,5734.958
Dippach,52,601276.35,6630.264
Dudelange,290,525248.9,5640.376
Echternach,74,444951.73,4838.789
Ell,5,*,*
Erpeldange,1,*,*
Esch-sur-Alzette,1010,471986.77,6116.069
Esch-sur-Sûre,22,*,*
Ettelbruck,1734,525193.13,6088.973
Feulen,4,*,*
Fischbach,17,*,*
Flaxweiler,0,*,*
Frisange,127,725231.69,6004.455
Garnich,0,*,*
Goesdorf,15,*,*
Grevenmacher,38,530760.55,5808.749
Grosbous,5,*,*
Habscht,63,542205.78,5467.926
Heffingen,15,*,*
Helperknapp,90,579559.3,5639.086
Hesperange,666,913316.31,9100.179
Junglinster,105,634485.12,6181.865
Kaerjeng,220,562260.75,6058.938
Kayl,298,516630.18,6177.752
Kehlen,96,667154.54,7307.569
Kiischpelt,1,*,*
Koerich,6,*,*
Kopstal,313,1007575,9126.388
Lac de la Haute-Sûre,62,356281.23,3895.02
Larochette,39,496160.64,4987.446
Lenningen,17,*,*
Leudelange,29,*,*
Lintgen,54,668677.87,6247.334
Lorentzweiler,152,809408.65,6788.487
Luxembourg,6551,839313.4,11257.35
Mamer,285,828311.41,7646.659
Manternach,5,*,*
Mersch,85,589006.85,6066.204
Mertert,442,547577.44,5708.402
Mertzig,12,*,*
Mondercange,103,732102.07,7189.924
Mondorf-les-Bains,69,569195.1,6222.493
Niederanven,123,1068889.6,8004.362
Nommern,0,*,*
Parc Hosingen,41,458766.83,4737.506
Petange,935,450690.4,5270.133
Préizerdaul,16,*,*
Putscheid,5,*,*
Rambrouch,16,*,*
Reckange-sur-Mess,22,*,*
Redange-sur-Attert,43,532234.09,4546.479
Reisdorf,0,*,*
Remich,1255,654351.22,8812.421
Roeser,690,704664.11,8907.66
Rosport-Mompach,3,*,*
Rumelange,63,405198.41,4889.721
Saeul,17,*,*
Sandweiler,31,763000,6976.611
Sanem,229,531114.2,5510.107
Schengen,25,*,*
Schieren,81,618723.45,5640.238
Schifflange,311,555927.41,7306.642
Schuttrange,26,*,*
Stadtbredimus,26,*,*
Steinfort,86,574997.65,6020.14
Steinsel,42,801507.14,7661.309
Strassen,166,907988.41,8446.783
Tandel,0,*,*
Troisvierges,66,405694.2,4114.059
Useldange,25,*,*
Vallée de l'Ernz,10,*,*
Vianden,7,*,*
Vichten,2,*,*
Wahl,0,*,*
Waldbillig,2,*,*
Waldbredimus,15,*,*
Walferdange,418,721221.68,8972.958
Weiler-la-Tour,117,808001.7,6117.85
Weiswampach,325,415473.41,4569.352
Wiltz,249,380285.94,4309.117
Wincrange,2,*,*
Winseler,13,*,*
Wormeldange,31,586509.39,5674.961
