commune,nombre_d'offres,prix_moyen_annoncé_________en_€_courant,prix_moyen_annoncé_au_m²_en_€_courant
Beaufort,109,710548.78,3948.449
Bech,13,*,*
Beckerich,154,866784.75,5020.332
Berdorf,44,714552.77,3694.5
Bertrange,44,1606353.2,7587.324
Bettembourg,132,1107318.2,5084.001
Bettendorf,75,718986.73,3974.492
Betzdorf,34,1050788.4,4753.826
Bissen,58,883476.02,5031.245
Biwer,41,896424.37,4173.428
Boulaide,62,657558.92,3604.439
Bourscheid,19,*,*
Bous,16,*,*
Clervaux,281,838803.69,4481.37
Colmar-Berg,17,*,*
Consdorf,24,*,*
Contern,97,1355557.9,6265.059
Dalheim,137,982928.84,5130.774
Diekirch,39,671871.79,4184.154
Differdange,520,738043.59,4477.356
Dippach,147,1279549.6,5505.615
Dudelange,253,917642.52,4976.088
Echternach,39,788871.79,4100.964
Ell,136,768133.37,3981.587
Erpeldange,19,*,*
Esch-sur-Alzette,333,828634.71,4641.856
Esch-sur-Sûre,79,655728.96,3729.698
Ettelbruck,1227,875397.74,5207.272
Feulen,38,836108.13,4128.616
Fischbach,2,*,*
Flaxweiler,48,916393.4,4802.031
Frisange,120,1014897.9,4840.689
Garnich,38,1094393.2,5595.605
Goesdorf,45,643924.21,3758.36
Grevenmacher,130,1099521.2,5896.884
Grosbous,6,*,*
Habscht,152,836200.63,4261.266
Heffingen,22,*,*
Helperknapp,196,864268.57,4139.876
Hesperange,131,1310675.6,6407.038
Junglinster,145,1112458.8,5381.142
Kaerjeng,306,948586.36,5157.857
Kayl,107,783968.16,4610.4
Kehlen,101,1252773,5979.236
Kiischpelt,30,546466.67,3285.596
Koerich,73,1029898.5,5249.604
Kopstal,133,1491918.2,6311.217
Lac de la Haute-Sûre,63,820505.59,3221.515
Larochette,16,*,*
Lenningen,69,831941.61,4891.887
Leudelange,121,1802526.8,6565.02
Lintgen,57,939894.72,5607.917
Lorentzweiler,200,1046443.3,5649.649
Luxembourg,558,1576213.6,8078.167
Mamer,159,1330212.2,6405.194
Manternach,332,910661.56,5782.595
Mersch,749,1110211.3,5700.724
Mertert,65,971834.02,4572.035
Mertzig,56,841449.68,4355.545
Mondercange,70,1249759.9,5572.701
Mondorf-les-Bains,129,977433.51,4391.548
Niederanven,149,1579152.9,7039.238
Nommern,4,*,*
Parc Hosingen,80,561982.41,3759.707
Petange,392,667280.33,4190.972
Préizerdaul,35,753016.07,3792.437
Putscheid,8,*,*
Rambrouch,316,634472.3,3037.231
Reckange-sur-Mess,43,1159163.5,5119.682
Redange-sur-Attert,91,795954.51,4222.839
Reisdorf,28,*,*
Remich,56,957575.09,4608.421
Roeser,75,1248928.3,6184.34
Rosport-Mompach,41,805463.41,3995.835
Rumelange,94,670103.94,4200.217
Saeul,3,*,*
Sandweiler,103,1244351.7,6091.403
Sanem,267,869737,4446.38
Schengen,72,751493.51,3674.03
Schieren,36,843384.44,4498.923
Schifflange,85,815894.12,4682.193
Schuttrange,80,1357663.6,5533.854
Stadtbredimus,78,987396.15,3715.079
Steinfort,198,1075727.3,4434.209
Steinsel,91,1540155.3,6490.608
Strassen,51,1621750.9,7424.209
Tandel,0,*,*
Troisvierges,92,741726.67,3992.16
Useldange,59,744662.41,4053.216
Vallée de l'Ernz,55,772004.05,4385.68
Vianden,38,553526.32,3824.864
Vichten,100,992221.28,4517.081
Wahl,11,*,*
Waldbillig,27,*,*
Waldbredimus,40,1082425.8,5145.286
Walferdange,59,1440262.2,6636.738
Weiler-la-Tour,55,1121421.3,5296.581
Weiswampach,113,615076.74,3903.223
Wiltz,177,580239.47,3315.955
Wincrange,149,529375.33,3365.352
Winseler,12,*,*
Wormeldange,92,1017426.4,5336.409
