commune,nombre_d'offres,prix_moyen_annoncé_________en_€_courant,prix_moyen_annoncé_au_m²_en_€_courant
Beaufort,28,*,*
Bech,42,1091727,5489.028
Beckerich,100,925320,4559.405
Berdorf,25,*,*
Bertrange,206,1745393,8408.023
Bettembourg,154,1088766,6006.035
Bettendorf,66,1019582,5292.409
Betzdorf,426,1575177,6064.651
Bissen,31,866612.9,5883.88
Biwer,24,*,*
Boulaide,41,935399.6,4147.562
Bourscheid,52,949850.9,6196.521
Bous-Waldbredimus,65,1222414.9538461538,6094.974830769231
Clervaux,110,846730.9,4749.718
Colmar-Berg,12,*,*
Consdorf,45,1223339,6458.584
Contern,93,1459666,7141.242
Dalheim,209,1130723,6945.053
Diekirch,28,*,*
Differdange,365,808228.2,4860.071
Dippach,309,1283491,6477.562
Dudelange,259,957097.3,5548.692
Echternach,43,1081279,5486.285
Ell,46,976862.7,5878.685
Erpeldange,12,*,*
Esch-sur-Alzette,321,836830.4,4875.4
Esch-sur-Sûre,44,787961.9,4936.662
Ettelbruck,128,1084090,5621.608
Feulen,83,1030740,4502.556
Fischbach,2,*,*
Flaxweiler,30,1133705,5594.285
Frisange,569,1284111,5793.562
Garnich,65,1479527,8114.53
Goesdorf,28,*,*
Grevenmacher,34,951835.1,5840.364
Grosbus-Wal,26,*,*
Habscht,112,1083529,5414.133
Heffingen,40,1225004,5309.214
Helperknapp,65,1108492,4799.995
Hesperange,99,1568666,7513.243
Junglinster,223,1360399,6610.336
Käerjeng,1060,1222103,6057.235
Kayl,186,893081.5,4871.591
Kehlen,227,1310680,7062.331
Kiischpelt,7,*,*
Koerich,32,1133375,5401.778
Kopstal,66,1964938,7755.889
Lac de la Haute-Sûre,52,901458.6,4195.335
Larochette,31,784354.8,4873.577
Lenningen,18,*,*
Leudelange,90,1976953,8394.336
Lintgen,45,1474933,5707.795
Lorentzweiler,201,1224802,5686.354
Luxembourg,887,1795191,8680.152
Mamer,112,1496188,7201.385
Manternach,34,1109654,4414.636
Mersch,1511,1162655,5928.568
Mertert,89,1064952,5686.736
Mertzig,64,875609.9,4752.246
Mondercange,94,1330161,6258.515
Mondorf-les-Bains,76,1107106,5590.51
Niederanven,80,1844850,8201.982
Nommern,207,1290570,4740.113
Parc Hosingen,70,862286.4,5142.367
Pétange,286,809213.6,4941.675
Préizerdaul,10,*,*
Putscheid,17,*,*
Rambrouch,194,932890.7,4463.331
Reckange-sur-Mess,35,1416370,6697.307
Redange-sur-Attert,90,1105611,5735.83
Reisdorf,51,982947.7,5588.25
Remich,471,979656.1,5967.034
Roeser,92,1539995,7359.578
Rosport-Mompach,62,923852.3,4976.575
Rumelange,36,767027.8,5018.391
Saeul,30,1801307,5625.159
Sandweiler,59,1390462,6712.586
Sanem,264,982449.5,5305.678
Schengen,139,982457.2,4665.339
Schieren,27,*,*
Schifflange,110,804575.4,5087.955
Schuttrange,59,1705375,7825.673
Stadtbredimus,62,952854.8,4597.012
Steinfort,190,1134390,5581.571
Steinsel,161,1417144,6860.643
Strassen,83,1952820,9467.787
Tandel,0,*,*
Troisvierges,62,703129.9,3364.756
Useldange,62,1130341,5328.872
Vallée de l'Ernz,510,1114425,4982.548
Vianden,12,*,*
Vichten,27,*,*
Waldbillig,31,915372,4678.844
Walferdange,86,1925514,8030.17
Weiler-la-Tour,129,1494067,6008.06
Weiswampach,17,*,*
Wiltz,405,887667.7,4221.435
Wincrange,103,830597.2,4591.285
Winseler,33,901674.2,4566.744
Wormeldange,47,1242021,6665.817
