commune,nombre_d'offres,loyer_moyen_annoncé__________en_€_courant,loyer_moyen_annoncé_au_m²_en_€_courant
Beaufort,12,*,*
Bech,3,*,*
Beckerich,6,*,*
Berdorf,12,*,*
Bertrange,139,1462.8776978417263,20.497949296161824
Bettembourg,88,1297.2159090909092,15.825271214512822
Bettendorf,16,*,*
Betzdorf,27,*,*
Bissen,17,*,*
Biwer,3,*,*
Boevange-sur-Attert,10,*,*
Boulaide,4,*,*
Bourscheid,14,*,*
Bous,3,*,*
Clervaux,59,963.7288135593219,12.137133425265771
Colmar-Berg,13,*,*
Consdorf,14,*,*
Contern,13,*,*
Dalheim,8,*,*
Diekirch,102,1001.6176470588234,14.714085468013753
Differdange,265,1039.4716981132078,16.79038863844671
Dippach,27,*,*
Dudelange,153,1061.862745098039,17.702201702105725
Echternach,23,*,*
Ell,1,*,*
Erpeldange,30,1512.6666666666667,13.36647709709915
Esch-sur-Alzette,579,1055.2072538860107,17.880081326170107
Esch-sur-Sûre,15,*,*
Ettelbruck,74,1080.8108108108106,14.744506405691943
Feulen,7,*,*
Fischbach,8,*,*
Flaxweiler,10,*,*
Frisange,59,1201.4406779661017,17.209410368676174
Garnich,1,*,*
Goesdorf,11,*,*
Grevenmacher,42,1139.8809523809525,15.636146933724218
Grosbous,2,*,*
Heffingen,3,*,*
Hesperange,314,1580.570063694268,19.113394989144062
Hobscheid,44,1151.25,13.980099854623733
Junglinster,55,1153.2727272727275,18.279662797858922
Kaerjeng,85,1166.1176470588236,15.086814298044661
Kayl,88,1049.5454545454545,18.61066902171954
Kehlen,55,1362.818181818182,14.883762150560559
Kiischpelt,7,*,*
Koerich,12,*,*
Kopstal,80,1655.6250000000005,19.478489750065215
Lac de la Haute-Sûre,3,*,*
Larochette,12,*,*
Lenningen,11,*,*
Leudelange,30,1471,16.910048922926773
Lintgen,21,*,*
Lorentzweiler,38,1391.184210526316,16.818831611778066
Luxembourg,3336,1645.2385191846527,23.45141626834725
Mamer,133,1552.24060150376,18.487121960537554
Manternach,3,*,*
Mersch,107,1163.2242990654206,15.827944680761709
Mertert,23,*,*
Mertzig,4,*,*
Mompach,1,*,*
Mondercange,39,1018.7179487179487,18.818664070287554
Mondorf-les-Bains,89,1092.8651685393259,16.165818326282213
Niederanven,36,1290.8333333333333,23.24624583916413
Nommern,2,*,*
Parc Hosingen,21,*,*
Petange,315,1084.2380952380952,17.67546673694238
Préizerdaul,6,*,*
Putscheid,2,*,*
Rambrouch,12,*,*
Reckange-sur-Mess,7,*,*
Redange-sur-Attert,11,*,*
Reisdorf,3,*,*
Remich,51,1034.0196078431372,14.620045049928803
Roeser,61,1182.377049180328,16.080401298614976
Rosport,1,*,*
Rumelange,17,*,*
Saeul,7,*,*
Sandweiler,28,*,*
Sanem,102,1067.0588235294117,18.409578391551573
Schengen,30,1180.3333333333337,15.940846666860642
Schieren,6,*,*
Schifflange,165,1055.248484848485,18.162252649770632
Schuttrange,11,*,*
Septfontaines,4,*,*
Stadtbredimus,12,*,*
Steinfort,34,1063.8235294117646,17.009597436169948
Steinsel,22,*,*
Strassen,188,1520.9308510638293,21.184942255118784
Tandel,3,*,*
Troisvierges,15,*,*
Tuntange,22,*,*
Useldange,10,*,*
Vallée de l'Ernz,10,*,*
Vianden,9,*,*
Vichten,6,*,*
Wahl,7,*,*
Waldbillig,7,*,*
Waldbredimus,8,*,*
Walferdange,100,1332.6,18.425893730621933
Weiler-la-Tour,12,*,*
Weiswampach,49,1077.4081632653063,15.57024206156496
Wiltz,47,890.7446808510639,13.123142231530332
Wincrange,14,*,*
Winseler,16,*,*
Wormeldange,7,*,*
